group,token_length
Formal Human,134
Formal Human,135
Formal Human,201
Formal Human,239
Formal Human,98
Formal Human,122
Formal Human,97
Formal Human,237
Formal Human,153
Formal Human,212
Formal Human,116
Formal Human,124
Formal Human,328
Formal Human,207
Formal Human,101
Formal Human,311
Formal Human,219
Formal Human,227
Formal Human,241
Formal Human,126
Formal Human,144
Formal Human,103
Formal Human,52
Formal Human,201
Formal Human,170
Formal Human,247
Formal Human,130
Formal Human,224
Formal Human,198
Formal Human,266
Formal Human,82
Formal Human,239
Formal Human,208
Formal Human,187
Formal Human,83
Formal Human,401
Formal Human,197
Formal Human,418
Formal Human,130
Formal Human,186
Formal Human,145
Formal Human,196
Formal Human,130
Formal Human,201
Formal Human,151
Formal Human,136
Formal Human,116
Formal Human,288
Formal Human,102
Formal Human,136
Formal Human,223
Formal Human,127
Formal Human,124
Formal Human,203
Formal Human,142
Formal Human,223
Formal Human,46
Formal Human,197
Formal Human,114
Formal Human,154
Formal Human,35
Formal Human,116
Formal Human,203
Formal Human,113
Formal Human,193
Formal Human,203
Formal Human,142
Formal Human,254
Formal Human,279
Formal Human,111
Formal Human,110
Formal Human,189
Formal Human,272
Formal Human,112
Formal Human,213
Formal Human,154
Formal Human,82
Formal Human,292
Formal Human,283
Formal Human,201
Formal Human,134
Formal Human,228
Formal Human,133
Formal Human,310
Formal Human,182
Formal Human,141
Formal Human,233
Formal Human,215
Formal Human,335
Formal Human,210
Formal Human,205
Formal Human,161
Formal Human,494
Formal Human,114
Formal Human,174
Formal Human,226
Formal Human,208
Formal Human,250
Formal Human,214
Formal Human,310
Formal Human,130
Formal Human,118
Formal Human,133
Formal Human,205
Formal Human,151
Formal Human,248
Formal Human,301
Formal Human,445
Formal Human,101
Formal Human,128
Formal Human,301
Formal Human,202
Formal Human,164
Formal Human,219
Formal Human,222
Formal Human,126
Formal Human,123
Formal Human,133
Formal Human,253
Formal Human,204
Formal Human,289
Formal Human,183
Formal Human,161
Formal Human,130
Formal Human,210
Formal Human,140
Formal Human,159
Formal Human,63
Formal Human,675
Formal Human,209
Formal Human,133
Formal Human,121
Formal Human,278
Formal Human,93
Formal LLM,197
Formal LLM,155
Formal LLM,228
Formal LLM,132
Formal LLM,200
Formal LLM,200
Formal LLM,449
Formal LLM,245
Formal LLM,217
Formal LLM,212
Formal LLM,231
Formal LLM,180
Formal LLM,131
Formal LLM,218
Formal LLM,188
Formal LLM,237
Formal LLM,170
Formal LLM,227
Formal LLM,192
Formal LLM,162
Formal LLM,200
Formal LLM,226
Formal LLM,204
Formal LLM,230
Formal LLM,211
Formal LLM,227
Formal LLM,292
Formal LLM,199
Formal LLM,148
Formal LLM,235
Formal LLM,161
Formal LLM,170
Formal LLM,154
Formal LLM,221
Formal LLM,177
Formal LLM,244
Formal LLM,197
Formal LLM,200
Formal LLM,195
Formal LLM,199
Formal LLM,201
Formal LLM,243
Formal LLM,237
Formal LLM,244
Formal LLM,175
Formal LLM,213
Formal LLM,203
Formal LLM,195
Formal LLM,192
Formal LLM,191
Formal LLM,210
Formal LLM,216
Formal LLM,143
Formal LLM,157
Formal LLM,183
Formal LLM,239
Formal LLM,253
Formal LLM,218
Formal LLM,210
Formal LLM,169
Formal LLM,128
Formal LLM,249
Formal LLM,197
Formal LLM,174
Formal LLM,182
Formal LLM,195
Formal LLM,158
Formal LLM,258
Formal LLM,187
Formal LLM,137
Formal LLM,187
Formal LLM,151
Formal LLM,202
Formal LLM,261
Formal LLM,72
Formal LLM,222
Formal LLM,238
Formal LLM,179
Formal LLM,210
Formal LLM,201
Formal LLM,183
Formal LLM,195
Formal LLM,203
Formal LLM,216
Formal LLM,222
Formal LLM,228
Formal LLM,208
Formal LLM,163
Formal LLM,217
Formal LLM,177
Formal LLM,239
Formal LLM,222
Formal LLM,165
Formal LLM,174
Formal LLM,207
Formal LLM,218
Formal LLM,142
Formal LLM,110
Formal LLM,59
Formal LLM,201
Formal LLM,197
Formal LLM,250
Formal LLM,232
Formal LLM,209
Formal LLM,201
Formal LLM,257
Formal LLM,206
Formal LLM,204
Formal LLM,199
Formal LLM,180
Formal LLM,204
Formal LLM,181
Formal LLM,289
Formal LLM,185
Formal LLM,148
Formal LLM,218
Formal LLM,189
Formal LLM,210
Formal LLM,196
Formal LLM,248
Formal LLM,214
Formal LLM,156
Formal LLM,167
Formal LLM,258
Formal LLM,205
Formal LLM,179
Formal LLM,225
Formal LLM,143
Formal LLM,159
Formal LLM,177
Formal LLM,209
Formal LLM,175
Formal LLM,154
Formal LLM,171
Informal Human,12
Informal Human,82
Informal Human,17
Informal Human,7
Informal Human,14
Informal Human,5
Informal Human,3
Informal Human,21
Informal Human,24
Informal Human,29
Informal Human,43
Informal Human,58
Informal Human,9
Informal Human,47
Informal Human,4
Informal Human,12
Informal Human,7
Informal Human,12
Informal Human,14
Informal Human,7
Informal Human,13
Informal Human,7
Informal Human,11
Informal Human,20
Informal Human,8
Informal Human,3
Informal Human,8
Informal Human,18
Informal Human,14
Informal Human,31
Informal Human,30
Informal Human,11
Informal Human,14
Informal Human,13
Informal Human,24
Informal Human,14
Informal Human,22
Informal Human,84
Informal Human,8
Informal Human,33
Informal Human,42
Informal Human,15
Informal Human,70
Informal Human,294
Informal Human,15
Informal Human,6
Informal Human,24
Informal Human,72
Informal Human,65
Informal Human,20
Informal Human,36
Informal Human,9
Informal Human,173
Informal Human,9
Informal Human,12
Informal Human,8
Informal Human,20
Informal Human,26
Informal Human,16
Informal Human,17
Informal Human,10
Informal Human,20
Informal Human,5
Informal Human,14
Informal Human,24
Informal Human,40
Informal Human,25
Informal Human,37
Informal Human,24
Informal Human,73
Informal Human,16
Informal Human,52
Informal Human,41
Informal Human,1028
Informal Human,16
Informal Human,139
Informal Human,42
Informal Human,27
Informal Human,10
Informal Human,17
Informal Human,5
Informal Human,103
Informal Human,59
Informal Human,22
Informal Human,47
Informal Human,156
Informal Human,57
Informal Human,105
Informal Human,58
Informal Human,26
Informal Human,10
Informal Human,12
Informal Human,6
Informal Human,6
Informal Human,3
Informal Human,22
Informal Human,101
Informal Human,41
Informal Human,69
Informal Human,33
Informal Human,19
Informal Human,17
Informal Human,69
